mms_id,dlxs_id,alma_value,dlxs_value
990012612700106381,AFJ6702.0001.001,"Schnack, Ferdinand John Henry, 1883-"," Schnack, Ferdinand John Henry, 1883-"
990012612720106381,AFJ6704.0001.001,"Anderson, Rufus, 1796-1880."," Anderson, Rufus, 1796-1880."
990012612770106381,AFJ6709.0001.001,"Burnett, Charles C."," [Burnett, Charles C.]"
990012612830106381,AFJ6715.0001.001,"Dibble, Sheldon, 1809-1845."," Dibble, Sheldon, 1809-1845."
990012612880106381,AFJ6721.0001.001,"Gerould, Katharine Fullerton, 1879-1944."," Gerould, Katharine Fullerton, 1879-1944."
990012612900106381,AFJ6723.0001.001,"Gordon Cumming, C. F. (Constance Frederica), 1837-1924."," Gordon Cumming, C. F. (Constance Frederica), 1837-1924."
990012612900106381,AFJ6723.0002.001,"Gordon Cumming, C. F. (Constance Frederica), 1837-1924."," Gordon Cumming, C. F. (Constance Frederica), 1837-1924."
990012612910106381,AFJ6724.0001.001,"Grant, Minnie Caroline (Robinson) ""Mrs. W. Forsyth Grant."""," Grant, Minnie Caroline (Robinson) ""Mrs. W. Forsyth Grant."""
990012612920106381,AFJ6725.0001.001,"Griffiss, Townsend, 1900-"," Griffiss, Townsend, 1900-"
990012612960106381,AFJ6729.0001.001,"Jarves, James Jackson, 1818-1888."," Jarves, James Jackson, 1818-1888."
990012612970106381,AFJ6730.0001.001,"Lyman, Henry M. (Henry Munson), 1835-1904."," Lyman, Henry M. (Henry Munson), 1835-1904."
990012612980106381,AFJ6731.0001.001,"Macrae, James."," Macrae, James."
990012613000106381,AFJ6733.0001.001,"Monnier, Marcel, 1853-1918."," Monnier, Marcel, 1853-1918."
990012613050106381,AFJ6738.0001.001,"Prescott, Anne M."," Prescott, Anne M."
990012613130106381,AFJ6746.0001.001,"Wriston, Roscoe C., 1895-"," Wriston, Roscoe C., 1895-"
990012613330106381,AFJ6766.0001.001,"Alexander, Mary Charlotte, 1874-"," Alexander, Mary Charlotte, 1874-."
990012613340106381,AFJ6767.0001.001,"Bingham, Hiram, 1789-1869."," Bingham, Hiram, 1789-1869."
990012613440106381,AFJ6777.0001.001,"Kuykendall, Ralph S. (Ralph Simpson), 1885-1963."," Kuykendall, Ralph S. (Ralph Simpson), 1885-1963."
990012613470106381,AFJ6780.0001.001,"Lawrence, Mary Stebbins, 1876-"," Lawrence, Mary Stebbins, 1876-"
990012613610106381,AFJ6794.0001.001,"Owen, J. A. (Jean Allan), 1841-1922."," Owen, J. A. (Jean Allan), 1841-1922."
990012613660106381,AFJ6799.0001.001,"Richards, William, 1793-1847."," [Richards, William], 1793-1847."
990012613790106381,AFJ6812.0001.001,"Alexander, W. D. (William De Witt), 1833-1913."," Alexander, W. D. (William De Witt), 1833-1913."
990012613800106381,AFJ6813.0001.001,"Carter, Charles L."," Carter, Charles L."
990012613860106381,AFJ6819.0001.001,"Towse, Ed, 1867-"," [Towse, Ed], 1867-"
990012613880106381,AFJ6821.0001.001,"Young, Lucien, 1852-1912."," Young, Lucien, 1852-1912."
990012613970106381,AFJ6831.0001.001,"Briggs, L. Vernon (Lloyd Vernon), 1863-1941."," Briggs, L. Vernon (Lloyd Vernon), 1863-1941."
990012613990106381,AFJ6833.0001.001,"Damon, Ethel M. (Ethel Moseley), 1883-1965."," Damon, Ethel M. (Ethel Moseley), 1883-1965."
990012613990106381,AFJ6833.0001.002,"Damon, Ethel M. (Ethel Moseley), 1883-1965."," Damon, Ethel M. (Ethel Moseley), 1883-1965."
990012614000106381,AFJ6834.0001.001,"Morrow, Alice Clare."," Morrow, Alice Clare."
990012672820106381,AFK2830.0001.001,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.010,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.011,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.012,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.013,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.014,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.015,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.016,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.017,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.018,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.019,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.002,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.020,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.021,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.022,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.023,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.024,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.025,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
