mms_id,dlxs_id,alma_value,dlxs_value
990033416130106381,ASJ8998.0001.001,[],"['""Esta monografía fué presentada en la Universidad nacional como tésis para el grado de doctor en derecho público.""--Prefatory note.']"
990035275720106381,ATF7298.0001.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0002.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0003.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0004.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0005.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0006.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0007.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035275720106381,ATF7298.0008.001,"['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'Microfiche.', '1901-1909.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']","['Series of orders and proclamations relating to the administration of the Philippines, focusing primarily on employment in the public service, public land reservations, confirmation of elections, administrative boundaries of municipalities, currency, administration of justice, and public holidays.', 'Most orders are issued in both English and Spanish. Orders for 1903-1909 are cumulated annually, with indexes.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS Executive Branch Documents, 1789-1909 : nos. W4935-2 to W4935a-9)']"
990035278630106381,ATF7589.0001.001,"['Includes index.', '""Bontoc vocabulary"": p. 233-248.', 'Igorot culture group.--Bontoc culture group.--Social life.--Economic life.--Political life and control.--War and head-hunting.--Aesthetic life.--Religion.--Mental life.--Language.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-1.D).']","['Includes index.', '""Bontoc vocabulary"": p. 233-248.', 'Igorot culture group.--Bontoc culture group.--Social life.--Economic life.--Political life and control.--War and head-hunting.--Aesthetic life.--Religion.--Mental life.--Language.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-1.D).']"
990035278640106381,ATF7590.0001.001,"['Includes index.', 'Distribution of Negritos.--Province of Zambales.--Negritos of Zambales.--Industrial life.--Amusements.--Social life.--Spanish attempts to organize the Negritos.--Appendices: A. Anthropometric measurements. B. Vocabularies.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-2.1 ).']","['Includes index.', 'Distribution of Negritos.--Province of Zambales.--Negritos of Zambales.--Industrial life.--Amusements.--Social life.--Spanish attempts to organize the Negritos.--Appendices: A. Anthropometric measurements. B. Vocabularies.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-2.1 ).']"
990035278650106381,ATF7591.0001.001,"['Includes index.', 'With music (Ibaloi melodies)', '""Nabaloi vocabulary"": p. 151-171.', '""The Ibaloi Igorot seventy-five years ago : account of a Spanish expedition to Benguet in the year 1829 ; translated from Informe sobre el estado de las islas Filipinas en 1842 (by S. Mas), Madrid, 1842: Diary of Don G. Galvey, in command of the forces for the suppression of contraband trade"": p. 173-178.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-2.2).']","['Includes index.', 'With music (Ibaloi melodies)', '""Nabaloi vocabulary"": p. 151-171.', '""The Ibaloi Igorot seventy-five years ago : account of a Spanish expedition to Benguet in the year 1829 ; translated from Informe sobre el estado de las islas Filipinas en 1842 (by S. Mas), Madrid, 1842: Diary of Don G. Galvey, in command of the forces for the suppression of contraband trade"": p. 173-178.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-2.2).']"
990035278660106381,ATF7592.0001.001,"['Includes index.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-3.D).']","['Includes index.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-3.D).']"
990035278670106381,ATF7593.0001.001,"['Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-4.1).']","['CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-4.1).']"
990035278680106381,ATF7594.0001.001,"['Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-4.2).']","['CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-4.2).']"
990035278690106381,ATF7595.0001.001,"['Batan dialect as member of Philippine group of languages; ""F"" and ""V"" in Philippine languages.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-5.D).']","['Batan dialect as member of Philippine group of languages; ""F"" and ""V"" in Philippine languages.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-5.D).']"
990035278700106381,ATF7596.0001.001,"['Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-6.D).']","['CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-6.D).']"
990035278710106381,ATF7597.0001.001,"['Covers native religion in contact with Christianity and Islam, with description of society, family life, economy, language, and folklore; and data on body measurements.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-7.D).']","['Covers native religion in contact with Christianity and Islam, with description of society, family life, economy, language, and folklore; and data on body measurements.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-7.D).']"
990011518550106381,AEX5684.0001.001,"['Copy 2: Grad: Bound with: Spain. Laws, statutes, etc., 1886-1931 (Alfonso Xii) Translation of the general instructions for drafting public documents ... 1899.', 'buhr grad: In Cuba. Laws, statutes, etc. Laws of Cuba, Puerto Rico, and the Philippines. 1899. v.2.']","['Copy 2: Grad: Bound with: Spain. Laws, statutes, etc., 1886-1931 (Alfonso Xii) Translation of the general instructions for drafting public documents ... 1899.', 'Copy 3: Grad: In Cuba. Laws, statutes, etc. Laws of Cuba, Puerto Rico, and the Philippines. 1899. v.2.']"
990013598840106381,AFU8784.0001.001,[],"['Electronic data. [Ann Arbor, Mich.] : University of Michigan Digital Library, 2004. Includes both TIFF files and keyword searchable text. Mode of access: Internet.']"
990013949130106381,AFY4779.0001.001,"['Caption title.', 'Reprinted from the Annals of the New York Academy of Sciences, v.25.', 'Bibliography: p.279-282.', 'Includes index.']","['Caption title.', 'Reprinted from the Annals of the New York Academy of Sciences, v.25.', ""Originally presented as the author's thesis, Columbia, 1914."", 'Bibliography: p.279-282.', 'Includes index.']"
990029670760106381,AQQ0200.0001.001,"['Microfilm no. 76', 'Bibliography: p. 122-127.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 76', 'Thesis (M.A.) -- University of the Philippines.', 'Bibliography: p. 122-127.', 'Bibliography: p. 122-127.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990031995560106381,ARS2496.0001.001,"['""Constitution of the Philippines"": p. 279-303.', 'Includes Bibliograpical references (p. 275-278) and indexes.', 'Microfilm.', 'Ann Arbor,', 'University of Michigan, University Library, Preservation Office Microfilming Unit,', '1997.', '1 reel. 35 mm.']","['""Constitution of the Philippines"": p. 279-303.', 'Includes Bibliograpical references (p. 275-278) and indexes.', 'Microfilm. Ann Arbor, University of Michigan, University Library, Preservation Office Microfilming Unit, 1997. 1 reel. 35 mm.', 'Microfilm. Ann Arbor, University of Michigan, University Library, Preservation Office Microfilming Unit, 1997. 1 reel. 35 mm.']"
990029551650106381,AQN8205.0001.001,"['Microfilm no. 52', 'Vol 28, of Correo Sino-Annamita.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.']","['Microfilm no. 52', 'Vol 28, of Correo Sino-Annamita.', 'Microfilm no. 52', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.']"
990005211060106381,ACF1394.0001.001,"['Title varies slightly.', 'Published: Manila, Bureau of Printing, 1908-', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'None published 1931-1934; numbering restarted with no.1 (1935/1936), which covers Nov. 15, 1935-Dec. 31, 1936.', 'First report in English.']","['Title varies slightly.', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'First report in English.', 'Found also in the annual reports of the Philippine commission, 1901-08.', 'Continued by the Annual report of the Bureau of Civil Service of the Commonwealth of the Philippines.']"
990005211060106381,ACF1394.1900.001,"['Title varies slightly.', 'Published: Manila, Bureau of Printing, 1908-', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'None published 1931-1934; numbering restarted with no.1 (1935/1936), which covers Nov. 15, 1935-Dec. 31, 1936.', 'First report in English.']","['Title varies slightly.', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'First report in English.', 'Found also in the annual reports of the Philippine commission, 1901-08.', 'Continued by the Annual report of the Bureau of Civil Service of the Commonwealth of the Philippines.']"
990005211060106381,ACF1394.1902.001,"['Title varies slightly.', 'Published: Manila, Bureau of Printing, 1908-', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'None published 1931-1934; numbering restarted with no.1 (1935/1936), which covers Nov. 15, 1935-Dec. 31, 1936.', 'First report in English.']","['Title varies slightly.', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'First report in English.', 'Found also in the annual reports of the Philippine commission, 1901-08.', 'Continued by the Annual report of the Bureau of Civil Service of the Commonwealth of the Philippines.']"
990005211060106381,ACF1394.1903.001,"['Title varies slightly.', 'Published: Manila, Bureau of Printing, 1908-', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'None published 1931-1934; numbering restarted with no.1 (1935/1936), which covers Nov. 15, 1935-Dec. 31, 1936.', 'First report in English.']","['Title varies slightly.', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'First report in English.', 'Found also in the annual reports of the Philippine commission, 1901-08.', 'Continued by the Annual report of the Bureau of Civil Service of the Commonwealth of the Philippines.']"
990005211060106381,ACF1394.1904.001,"['Title varies slightly.', 'Published: Manila, Bureau of Printing, 1908-', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'None published 1931-1934; numbering restarted with no.1 (1935/1936), which covers Nov. 15, 1935-Dec. 31, 1936.', 'First report in English.']","['Title varies slightly.', 'Report year irregular.', 'First report covers period from Sept. 26 to Dec. 31, 1900.', 'First report in English.', 'Found also in the annual reports of the Philippine commission, 1901-08.', 'Continued by the Annual report of the Bureau of Civil Service of the Commonwealth of the Philippines.']"
