mms_id,dlxs_id,alma_value,dlxs_value
990012613340106381,AFJ6767.0001.001,"New York,",Hartford [Conn.]
990012672840106381,AFK2832.0001.001,Rizal],"[San Juan,"
990012771490106381,AFL2935.0001.001,"London,",New York
990011581880106381,AEY2206.0001.001,"London,","New York,"
990013597530106381,AFU8653.0001.001,Manila :,"Manila, :"
990013598840106381,AFU8784.0001.001,"Manila,",Manila :
990029619680106381,AQP5054.0001.001,,unknown
990029703310106381,AQQ3480.0001.001,San Antonio. Tex. :,"San Antonio. Tex., :"
990031995530106381,ARS2493.0001.001,London :,New York :
990002794560106381,ABE5832.0001.001,"London,","New York,"
990003210990106381,ABJ8305.0001.001,"New York,","Cincinnati,"
990003211650106381,ABJ8372.0001.001,"New York,","Cincinnati,"
990003213660106381,ABJ8574.0001.001,"London,","New York,"
990003336240106381,ABL0964.0001.001,London :,"New York,"
990029150670106381,AQJ7899.0001.001,"Zamboanga, P. I. :","Zamboanga, P. I., :"
990029150970106381,AQJ7929.0001.001,,unknown
990029373660106381,AQM0352.0001.001,"Baguio, Mount. Prov :","Baguio, Mount. Prov. :"
990029516300106381,AQN4643.0001.001,,unknown
990006091650106381,ACQ0871.0001.001,Washington :,"Washington, :"
990008777100106381,ADT4870.0001.001,,unknown
990028551110106381,APZ1178.0001.001,,unknown
990018709750106381,AHZ9194.0001.001,"Dallas, Texas :","Nashville, Tenn. and"
990018709900106381,AHZ9209.0001.001,"Manila,",New York
990018710230106381,AHZ9242.0001.001,Chicago :,"Yonkers-on-Hudson, N. Y.,"
990018710530106381,AHZ9277.0001.001,"New York,","Cleveland, Ohio,"
990018710530106381,AHZ9277.0002.001,"New York,","Cleveland, Ohio,"
990018710550106381,AHZ9279.0001.001,Madrid :,"Madrid, :"
990018711340106381,AHZ9360.0001.001,"New York,",London and
990018711700106381,AHZ9397.0001.001,"London,",New York
990018711700106381,AHZ9397.1913.001,"London,",New York
990012568120106381,AFJ2156.0001.001,London :,"New York,"
990012568210106381,AFJ2165.0001.001,London :,"New York,"
990012570250106381,AFJ2371.0001.001,"London,","New York,"
990012570320106381,AFJ2378.0001.001,"London,","New York,"
990027929150106381,APS8651.0001.001,,unknown
990028006690106381,APT6458.0001.001,"Laguboti, Toba :","Laguboti, Toba. :"
990016757690106381,AHD7618.0000.001,,unknown
990016766150106381,AHD8465.0001.001,,unknown
990017550050106381,AHN0548.0001.001,Manila :,"Manila, :"
990017550060106381,AHN0549.0001.001,Manila :,"Manila, :"
990042336400106381,BBM8812.0001.001,Washington :,"Washington, :"
990004657600106381,ABZ5072.0001.001,"London,","New York,"
990004672350106381,ABZ6565.0001.001,London :,"New York,"
990004672590106381,ABZ6590.0001.001,London :,"New York,"
990004750320106381,ACA4533.0001.001,"London,","New York,"
990000056790106381,AAA6267.0001.001,Chicago :,"Philadelphia,"
990000102770106381,AAB1246.0001.001,Manila :,"Manila, :"
990002491410106381,ABB4779.0001.001,"London,","New York,"
990014906630106381,AGJ3546.0001.001,"London,",New York
990015419300106381,AGP6085.0001.001,Boston :,"Philadelphia,"
990016306140106381,AGY6866.0001.001,,unknown
990016306370106381,AGY6889.0001.001,,unknown
990016306940106381,AGY6946.0001.001,,unknown
990016306950106381,AGY6947.0001.001,,unknown
990016307020106381,AGY6954.0021.002,,unknown
990016307520106381,AGY7004.0001.001,,unknown
990006628010106381,ACV5364.0001.001,[Washington :,"[Washington, :"
990006641090106381,ACV6687.0001.001,"London,",New York
990006641090106381,ACV6687.0002.001,"London,",New York
990006643290106381,ACV6910.0001.001,"London,","New York,"
990006643290106381,ACV6910.0001.002,"London,","New York,"
990006643330106381,ACV6914.0001.001,"London,","New York,"
990006911300106381,ACY4253.0001.001,"London,","New York,"
990007766110106381,ADH2558.0001.001,Chicago :,"Chicago, :"
990007788520106381,ADH4824.0001.001,"London,","New York,"
990020106370106381,AJQ5473.0001.001,"London,","New York,"
990020526130106381,AJV0736.0002.001,Leipzig :,Bielefeld und
990020959050106381,AJZ8102.0001.001,,unknown
990020960610106381,AJZ8258.0001.001,,unknown
990021295480106381,AKD5150.0001.001,,unknown
990021303410106381,AKD5989.0001.001,,unknown
990021321530106381,AKD7849.0001.001,,unknown
990021326020106381,AKD8319.1916.001,,unknown
990021326020106381,AKD8319.1916.002,,unknown
990021326020106381,AKD8319.1916.003,,unknown
990021326020106381,AKD8319.1916.009,,unknown
990021326020106381,AKD8319.1917.011,,unknown
990021326020106381,AKD8319.1926.007,,unknown
990021326020106381,AKD8319.1928.097,,unknown
990021326020106381,AKD8319.1928.106,,unknown
990021326020106381,AKD8319.1929.112,,unknown
990021326020106381,AKD8319.1929.114,,unknown
990021326020106381,AKD8319.1936.125,,unknown
990021326020106381,AKD8319.1936.128,,unknown
990021326020106381,AKD8319.1936.129,,unknown
990021326020106381,AKD8319.1936.130,,unknown
990021326020106381,AKD8319.1936.131,,unknown
990021326020106381,AKD8319.1936.139,,unknown
990021326020106381,AKD8319.1936.142,,unknown
990021326020106381,AKD8319.1936.144,,unknown
990021326270106381,AKD8344.1912.001,,unknown
990021326270106381,AKD8344.1913.006,,unknown
990021326270106381,AKD8344.1913.012,,unknown
990021326270106381,AKD8344.1936.001,,unknown
990021326270106381,AKD8344.1937.001,,unknown
990021336060106381,AKD9353.0001.001,,unknown
990021365170106381,AKE2396.0001.001,,unknown
990021371940106381,AKE3122.0001.001,,unknown
990021371940106381,AKE3122.0001.002,,unknown
990021371940106381,AKE3122.0001.003,,unknown
990021371940106381,AKE3122.0001.004,,unknown
990021371950106381,AKE3123.0001.001,,unknown
990021371950106381,AKE3123.0001.002,,unknown
