mms_id,dlxs_id,alma_value,dlxs_value
990012613340106381,AFJ6767.0001.001,"S. Converse,",H. Huntington;
990028697410106381,AQA5922.0001.001,"[El Tiempo],",[El Tiempo] ;
990028946040106381,AQG7227.0001.001,"s.n.,",s.n. ;
990029093410106381,AQJ2103.0001.001,"Panayana,","Panayana ,"
990011494130106381,AEX3172.0001.001,"Govt. print. off,","Govt. print. off.,"
990029619680106381,AQP5054.0001.001,,unknown
990029671370106381,AQQ0261.0001.001,"Imp. de Sta. Cruz,","Imp. de Sta. Cruz.,"
990002699520106381,ABD6201.0001.001,"Dow Bros.,","Dow Bros. ,"
990003210990106381,ABJ8305.0001.001,Eaton and Mains,Jennings and Pye;
990003211650106381,ABJ8372.0001.001,Eaton and Mains,Jennings and Pye;
990029150970106381,AQJ7929.0001.001,,unknown
990029516300106381,AQN4643.0001.001,,unknown
990008777100106381,ADT4870.0001.001,,unknown
990028551110106381,APZ1178.0001.001,,unknown
990028571290106381,APZ3206.0001.001,"s.n.,","s.n. ,"
990012569810106381,AFJ2326.0001.001,"U. S. Govt. print. off,","U. S. Govt. print. off.,"
990027929150106381,APS8651.0001.001,,unknown
990016757690106381,AHD7618.0000.001,,unknown
990016766150106381,AHD8465.0001.001,,unknown
990016306140106381,AGY6866.0001.001,,unknown
990016306370106381,AGY6889.0001.001,,unknown
990016306940106381,AGY6946.0001.001,,unknown
990016306950106381,AGY6947.0001.001,,unknown
990016307020106381,AGY6954.0021.002,,unknown
990016307520106381,AGY7004.0001.001,,unknown
990020106370106381,AJQ5473.0001.001,"W. Heinemann,","Doubleday, Page & Co.;"
990020959050106381,AJZ8102.0001.001,,unknown
990020960610106381,AJZ8258.0001.001,,unknown
990021295480106381,AKD5150.0001.001,,unknown
990021303410106381,AKD5989.0001.001,,unknown
990021321530106381,AKD7849.0001.001,,unknown
990021326020106381,AKD8319.1916.001,,unknown
990021326020106381,AKD8319.1916.002,,unknown
990021326020106381,AKD8319.1916.003,,unknown
990021326020106381,AKD8319.1916.009,,unknown
990021326020106381,AKD8319.1917.011,,unknown
990021326020106381,AKD8319.1926.007,,unknown
990021326020106381,AKD8319.1928.097,,unknown
990021326020106381,AKD8319.1928.106,,unknown
990021326020106381,AKD8319.1929.112,,unknown
990021326020106381,AKD8319.1929.114,,unknown
990021326020106381,AKD8319.1936.125,,unknown
990021326020106381,AKD8319.1936.128,,unknown
990021326020106381,AKD8319.1936.129,,unknown
990021326020106381,AKD8319.1936.130,,unknown
990021326020106381,AKD8319.1936.131,,unknown
990021326020106381,AKD8319.1936.139,,unknown
990021326020106381,AKD8319.1936.142,,unknown
990021326020106381,AKD8319.1936.144,,unknown
990021326270106381,AKD8344.1912.001,,unknown
990021326270106381,AKD8344.1913.006,,unknown
990021326270106381,AKD8344.1913.012,,unknown
990021326270106381,AKD8344.1936.001,,unknown
990021326270106381,AKD8344.1937.001,,unknown
990021336060106381,AKD9353.0001.001,,unknown
990021365170106381,AKE2396.0001.001,,unknown
990021371940106381,AKE3122.0001.001,,unknown
990021371940106381,AKE3122.0001.002,,unknown
990021371940106381,AKE3122.0001.003,,unknown
990021371940106381,AKE3122.0001.004,,unknown
990021371950106381,AKE3123.0001.001,,unknown
990021371950106381,AKE3123.0001.002,,unknown
990021371950106381,AKE3123.0001.003,,unknown
990021371950106381,AKE3123.0001.004,,unknown
