mms_id,dlxs_id,alma_value,dlxs_value
990012612900106381,AFJ6723.0001.001,"Fire fountains : the kingdom of Hawaii, its volcanoes, and the history of its missions, / by C. F. Gordon Cumming.","Fire fountains: the kingdom of Hawaii, its volcanoes, and the history of its missions, by C. F. Gordon Cumming.  [Vol. 1, no. 1]"
990012612900106381,AFJ6723.0002.001,"Fire fountains : the kingdom of Hawaii, its volcanoes, and the history of its missions, / by C. F. Gordon Cumming.","Fire fountains: the kingdom of Hawaii, its volcanoes, and the history of its missions, by C. F. Gordon Cumming.  [Vol. 2, no. 1]"
990012613990106381,AFJ6833.0001.001,"Koamalu : a story of pioneers on Kauai, and of what they built in that island garden / by Ethel M. Damon.","Koamalu : a story of pioneers on Kauai, and of what they built in that island garden / by Ethel M. Damon."
990012613990106381,AFJ6833.0001.002,"Koamalu : a story of pioneers on Kauai, and of what they built in that island garden / by Ethel M. Damon.","Koamalu : a story of pioneers on Kauai, and of what they built in that island garden / by Ethel M. Damon.  [Vol. 1, no. 2]"
990012672820106381,AFK2830.0001.001,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 1]"
990012672820106381,AFK2830.0001.010,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 10]"
990012672820106381,AFK2830.0001.011,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 11]"
990012672820106381,AFK2830.0001.012,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 12]"
990012672820106381,AFK2830.0001.013,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 13]"
990012672820106381,AFK2830.0001.014,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 14]"
990012672820106381,AFK2830.0001.015,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 15]"
990012672820106381,AFK2830.0001.016,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 16]"
990012672820106381,AFK2830.0001.017,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 17]"
990012672820106381,AFK2830.0001.018,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 18]"
990012672820106381,AFK2830.0001.019,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 19]"
990012672820106381,AFK2830.0001.002,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 2]"
990012672820106381,AFK2830.0001.020,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 20]"
990012672820106381,AFK2830.0001.021,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 21]"
990012672820106381,AFK2830.0001.022,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 22]"
990012672820106381,AFK2830.0001.023,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 23]"
990012672820106381,AFK2830.0001.024,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 24]"
990012672820106381,AFK2830.0001.025,"The Philippine Islands, 1493-1803; / explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;","The Philippine Islands, 1493-1803; explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commericial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century;  [Vol. 1, no. 25]"
