mms_id,dlxs_id,alma_value,dlxs_value
990012612770106381,AFJ6709.0001.001,"Burnett, Charles C."," [Burnett, Charles C.]"
990012612890106381,AFJ6722.0001.001,"Goodrich, Joseph King, 1850-1921."," Goodrich, Joseph King."
990012612930106381,AFJ6726.0001.001,Hawaii. Department of Foreign Affairs.,Hawaii. Dept. of foreign affairs.
990012612940106381,AFJ6727.0001.001,"Hill, S. S., active 19th century."," Hill, S. S., 19th cent."
990012613100106381,AFJ6743.0001.001,"Taylor, Albert Pierce, 1872-1931."," Taylor, Albert Pierce, 1872-"
990012613180106381,AFJ6751.0001.001,"Beaglehole, Ernest, 1906-1965."," Beaglehole, Ernest, 1906-"
990012613490106381,AFJ6782.0001.001,"Taylor, Albert Pierce, 1872-1931."," [Taylor, Albert Pierce], 1872-"
990012613600106381,AFJ6793.0001.001,"Taylor, Albert Pierce, 1872-1931."," Taylor, Albert Pierce, ed. 1872-"
990012613660106381,AFJ6799.0001.001,"Richards, William, 1793-1847."," [Richards, William], 1793-1847."
990012613780106381,AFJ6811.0001.001,United States. Committee on Foreign Relations.,United States. Congress.
990012613860106381,AFJ6819.0001.001,"Towse, Ed, 1867-"," [Towse, Ed], 1867-"
990012614090106381,AFJ6843.0001.001,United States. Military Information Division.,United States. Adjutant-General's Office.
990012672820106381,AFK2830.0001.001,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.010,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.011,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.012,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.013,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.014,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.015,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.016,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.017,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.018,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.019,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.002,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.020,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.021,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.022,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.023,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.024,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.025,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.026,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.027,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.028,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.029,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.003,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.030,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.031,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.032,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.033,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.034,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.035,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.038,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.039,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.004,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.040,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.041,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.042,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.043,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.044,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.045,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.046,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.047,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.048,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.049,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.005,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.050,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.051,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.052,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.053,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.054,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.055,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.006,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.007,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.008,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.009,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.036,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672820106381,AFK2830.0001.037,"Blair, Emma Helen, 1851-1911."," Blair, Emma Helen, ed. d.1911."
990012672840106381,AFK2832.0001.001,"Craig, Austin, 1872- ed."," Craig, Austin, ed. 1872-"
990012672970106381,AFK2845.0001.001,"González y Martín, R. (Rodolfo)"," González y Martín, R."
