mms_id,dlxs_id,alma_value,dlxs_value
990012613600106381,AFJ6793.0001.001,"['Hawaii -- History -- To 1893', 'France -- Foreign relations -- Hawaii.']","['Hawaii -- History', 'Hawaii -- Centennial celebrations, etc.', 'Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- Soviet Union', 'Soviet Union -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- France.', 'France -- Foreign relations -- Hawaii.']"
990012613660106381,AFJ6799.0001.001,"['Missions -- Hawaii', 'Keopuolani, -- Queen, consort of Kamehameha I, King of the Hawaiian Islands, -- 1778-1823.']","['Missions -- Hawaii', 'Kropuolani, -- queen consort of Kamehameha, king of the Hawaiian Islands, -- 1778-1823.']"
990012613780106381,AFJ6811.0001.001,"['United States -- Foreign relations -- Hawaii.', 'Hawaii -- Politics and government -- 1893-1900.']","['United States -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- United States.', 'Hawaii -- Politics and government']"
990012613800106381,AFJ6813.0001.001,"['Hawaii -- History -- Overthrow of the Monarchy, 1893.']",['Hawaii -- History']
990012613810106381,AFJ6814.0001.001,"['Hawaii -- History -- Overthrow of the Monarchy, 1893', 'Cleveland, Grover, -- 1837-1908.']","['Hawaii -- History', 'Cleveland, Grover, -- 1837-1908.']"
990012613870106381,AFJ6820.0001.001,"['Hawaii -- History -- Overthrow of the Monarchy, 1893']",['Hawaii -- History']
990012672820106381,AFK2830.0001.001,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.010,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.011,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.012,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.013,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.014,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.015,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.016,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.017,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.018,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.019,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
990012672820106381,AFK2830.0001.002,"['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History -- Sources.', 'Philippines -- Discovery and exploration.']","['Missions -- Philippines', 'Demarcation line of Alexander VI', 'Philippines -- History', 'Philippines -- Discovery and exploration.']"
