mms_id,dlxs_id,alma_value,dlxs_value
990012613780106381,AFJ6811.0001.001,"['Paged continuously; v. 1: 1 p.l., 809 p.; v. 2: 1 p.l., 811-2287 p.', 'Submitted by Mr. John T. Morgan.']","['Paged continuously; v. 1: 1 p.l., 809 p.; v. 2: 1 p.l., 811-2287 p.', 'Vol. I is issued also in the Congressional series (no. 3180).', 'On p. [1] 53d Congress, 2d session. Senate. Report no. 227.', 'Submitted by Mr. John T. Morgan.']"
990028697200106381,AQA5900.0001.001,"['Microfilm no. 38 and no. 39.', 'Vol.1 and part of vol. 2 are in microfilm no. 38 ; p. 26-447 of vol. 2 are in microfilm no. 39.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', 'On 2 microfilm reesl ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 38 and no. 39.', 'Translation of : Imitatio Christi.', 'Title from caption, p. 9 (v. 1).', 'Vol.1 and part of vol. 2 are in microfilm no. 38 ; p. 26-447 of vol. 2 are in microfilm no. 39.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. On 2 microfilm reesl ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028697200106381,AQA5900.0002.001,"['Microfilm no. 38 and no. 39.', 'Vol.1 and part of vol. 2 are in microfilm no. 38 ; p. 26-447 of vol. 2 are in microfilm no. 39.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', 'On 2 microfilm reesl ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 38 and no. 39.', 'Translation of : Imitatio Christi.', 'Title from caption, p. 9 (v. 1).', 'Vol.1 and part of vol. 2 are in microfilm no. 38 ; p. 26-447 of vol. 2 are in microfilm no. 39.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. On 2 microfilm reesl ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028697350106381,AQA5916.0001.001,"['Microfilm no. 30.', 'Includes errata pages.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 30.', 'Poems.', 'Includes errata pages.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028697380106381,AQA5919.0001.001,"['In Pangasinan language.', 'Microfilm no. 30.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['In Pangasinan language.', '""Saray agawgawad Pangasinan tan Zambales nen taon iran 1897 angad 1900. Bakal na Pilipino tan Kastila, tan bakal na Pilipino tan Estados Unidos."" --T. p.', 'Microfilm no. 30.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028697410106381,AQA5922.0001.001,"['In Spanish.', 'Microfilm no. 30.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['In Spanish.', '""Escritan expresamente para El Tiempo de Iloilo, y publicadas en el mismo periodico."" -- T.p.', 'Microfilm no. 30.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028758910106381,AQB2116.0001.001,"['Microfilm no. 36.', '...""hangang ipagcanulo ni Galalon na nangapatay sa Ronsesvailles.""---T.p.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collectiion on the Philippines and the East Indies.', 'Pages 38+ on microfilm no. 37 (FILM 31226(1)).']","['Microfilm no. 36.', 'In Tagalog.', '...""hangang ipagcanulo ni Galalon na nangapatay sa Ronsesvailles.""---T.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collectiion on the Philippines and the East Indies.', 'Pages 38+ on microfilm no. 37 (FILM 31226(1)).']"
990028759220106381,AQB2147.0001.001,"['Microfilm no. 29.', 'Novel.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 29.', 'In Spanish language.', 'Novel.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028759240106381,AQB2149.0001.001,"['Microfilm no. 29.', 'At head of title : Biblioteca Filipina.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 29.', 'In Spanish language.', 'At head of title : Biblioteca Filipina.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028774010106381,AQB3636.0001.001,"['Microfilm no. 19.', 'In Spanish language.', 'Contents: Part I. Blanco: Lava de ensueños--Part II. Azul: Lava de Amor--Part III. Rojo : Lava del Fuego.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 19.', 'Title cover has subtitle : Aurora social novelas cortas.', 'Novel.', 'In Spanish language.', 'Contents: Part I. Blanco: Lava de ensueños--Part II. Azul: Lava de Amor--Part III. Rojo : Lava del Fuego.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990028972280106381,AQG9882.0001.001,"['In Iloko language.', 'Microfilm no. 6', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['In Iloko language.', 'Contains errata pages.', 'Microfilm no. 6', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990029028760106381,AQH5587.0001.001,"['Microfilm no. 16.', 'In Hiligaynon language.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Microfilm no. 16.', 'Novel.', 'In Hiligaynon language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
990033281810106381,ASH5469.0001.001,"['At head of title, 1901: Form 1. Philippine Civil servive board.--1902-1905, Philippine Civil service board.--1906- The government of the Philippine islands. Bureau of civil service.', '1902-1903, 1905, printed also in Spanish.']","['At head of title, 1901: Form 1. Philippine Civil servive board.--1902-1905, Philippine Civil service board.--1906- The government of the Philippine islands. Bureau of civil service.', '1901 ""is divided into two parts. Part 1 is printed in English, and part 2, containing the same information ... is printed in Spanish."" Part 2 has special t.p., in Spanish.', '1902-1903, 1905, printed also in Spanish.']"
990033416130106381,ASJ8998.0001.001,[],"['""Esta monografía fué presentada en la Universidad nacional como tésis para el grado de doctor en derecho público.""--Prefatory note.']"
990033426540106381,ASK0053.0001.001,"['In: National geographic magazine. -- Vol. 16, no. 4 (April, 1905).', 'Title from cover.', 'Microfilm.', '[New York, N.Y.] :', 'New York Public Library Photographic Service,', '1978.', '1 microfilm reel ; 35 mm.', '""BFG p.v. 4 [no.] 16.""']","['In: National geographic magazine. -- Vol. 16, no. 4 (April, 1905).', '""Article is a summary of the report of the Census of the Philippine Islands by General J.P. Sanger, Director, and Messrs Henry Gannett and Victor H. Olmstead, Assistant Directors, which is published by the United States Bureau of the Census, April 8, [1905]""--P. [139]', 'Title from cover.', 'Microfilm. [New York, N.Y.] : New York Public Library Photographic Service, 1978. 1 microfilm reel ; 35 mm. ""BFG p.v. 4 [no.] 16.""']"
990033435780106381,ASK0983.0001.001,"['Caption title.', 'Includes letters signed by A.K. Weir and P.W. West.', 'Microfilm.', '[New York, N.Y.] :', 'New York Public Library Photographic Service,', '1978.', '1 microfilm reel ; 35 mm.', '""BFG p.v. 5 [no.] 29.""']","['Caption title.', '""From \'City and state\' (Philadelphia), June 12, 1902.""', 'Includes letters signed by A.K. Weir and P.W. Weir.', 'Microfilm. [New York, N.Y.] : New York Public Library Photographic Service, 1978. 1 microfilm reel ; 35 mm. ""BFG p.v. 5 [no.] 29.""']"
990033435900106381,ASK0995.0001.001,"['""Dec. 7, 1903, read, referred to the Committee on the Philippines and ordered to be printed.""', 'Includes text of Act no. 926, passed by the Philippine Commission.', 'Microfilm.', '[New York, N.Y.],', 'New York Public Library Photographic Service,', '1978.', '1 reel. 35 mm.', '""BFG p.v. 5 [no.] 19.""']","['""Dec. 7, 1903, read, referred to the Committee on the Philippines and ordered to be printed.""', 'Caption title.', 'Includes text of Act no. 926, passed by the Philippine Commission.', 'Microfilm. [New York, N.Y.], New York Public Library Photographic Service, 1978. 1 reel. 35 mm. ""BFG p.v. 5 [no.] 19.""']"
990035077130106381,ATD7328.0001.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0010.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0011.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0012.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0013.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0014.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0015.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0016.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0017.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0018.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0019.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0002.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0020.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0021.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0022.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0023.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0024.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0025.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0028.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0029.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0003.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0030.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0031.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0032.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0033.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0034.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0035.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0036.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0037.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0038.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0039.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0004.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
990035077130106381,ATD7328.0040.001,"['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.']","['Reissue of the 1962 reprint of the work originally published in Cleveland, Ohio : A. H. Clark, 1903-09.', 'Vols. 54-55: analytical index.', '""Bibliographical data"" in each volume.', 'Vol. 53: bibliography.']"
