mms_id,dlxs_id,alma_value,dlxs_value
990012612720106381,AFJ6704.0001.001,"New York, :","Boston,"
990012612980106381,AFJ6731.0001.001,"Honolulu,",
990012613180106381,AFJ6751.0001.001,"[Honolulu,",
990012613340106381,AFJ6767.0001.001,"New York,",Hartford [Conn.]
990012613470106381,AFJ6780.0001.001,New York [etc.],"Boston,"
990012613480106381,AFJ6781.0001.001,"Chicago,","Boston,"
990012613520106381,AFJ6785.0001.001,"[Honolulu,",
990012613730106381,AFJ6806.0001.001,[Honolulu?,
990012672840106381,AFK2832.0001.001,Rizal],"[San Juan,"
990012673040106381,AFK2852.0001.001,New York [etc.],"Chicago,"
990012673050106381,AFK2853.0001.001,New York [etc.],"Chicago,"
990012754350106381,AFL1194.0001.001,"Honolulu,",
990012754350106381,AFL1194.0001.003,"Honolulu,",
990012754350106381,AFL1194.0001.004,"Honolulu,",
990012764470106381,AFL2225.0001.001,"[Avila,",Madrid
990012771490106381,AFL2935.0001.001,"London,",New York
990029028760106381,AQH5587.0001.001,Iloilo :,Iloilo ;
990029060960106381,AQH8826.0001.001,Manila :,Manila ;
990029093490106381,AQJ2111.0001.001,Manila :,Manila ;
990029095380106381,AQJ2300.0001.001,[Iloilo City :,
990029108050106381,AQJ3601.0001.001,"Manila, Tip. Pont. de la Univ. de Santo Tomás,",
990033317260106381,ASH9043.0001.001,"[Washington, D.C. :",[s.l. :
990033430330106381,ASK0432.0001.001,"Manila,",
990033435850106381,ASK0990.0001.001,"[New York,",
990033435900106381,ASK0995.0001.001,"Washington,",
990033435910106381,ASK0996.0001.001,"[n.p.,",
990033435970106381,ASK1002.0001.001,"Madrid,",
990033436140106381,ASK1019.0001.001,"[Boston,",
990033436150106381,ASK1020.0001.001,"[New York?,",
990033436180106381,ASK1023.0001.001,"[n.p.,",
990033436190106381,ASK1024.0001.001,"Manila,",
990033436200106381,ASK1025.0001.001,"[n.p.,",
990033436210106381,ASK1026.0001.001,"[n.p.,",
990033436220106381,ASK1027.0001.001,"[Manila,",
990033436230106381,ASK1028.0001.001,"[Manila,",
990033438800106381,ASK1287.0001.001,"[Manila,",
990035734370106381,ATL4103.0001.001,"[Honolulu,",
990011005840106381,AES2312.0001.001,"Manila,",
990011005970106381,AES2326.0001.001,New York [etc.] :,"Boston,"
990011227370106381,AEU5363.0001.001,"Washington, D.C.,",
990011494100106381,AEX3169.0001.001,"Manila,",
990011494160106381,AEX3175.0001.001,"Iowa City, Iowa,",
990011581880106381,AEY2206.0001.001,"London,","New York,"
990011586420106381,AEY2669.0001.001,[Manila?,
990012902630106381,AFM6967.1911.001,Barcelona :,
990012902630106381,AFM6967.1911.002,Barcelona :,
990012902630106381,AFM6967.1912.001,Barcelona :,
990012902630106381,AFM6967.1912.002,Barcelona :,
990012902630106381,AFM6967.1913.002,Barcelona :,
990012902630106381,AFM6967.1914.001,Barcelona :,
990012902630106381,AFM6967.1914.002,Barcelona :,
990012902630106381,AFM6967.1915.001,Barcelona :,
990012902630106381,AFM6967.1916.001,Barcelona :,
990012902630106381,AFM6967.1917.001,Barcelona :,
990012902630106381,AFM6967.1918.001,Barcelona :,
990012902630106381,AFM6967.1919.001,Barcelona :,
990013194990106381,AFQ6770.0001.001,New York [etc.],"Boston,"
990013195030106381,AFQ6774.0001.001,"New York,",
990013424280106381,AFT0176.0001.001,"[Honolulu?,",
990013462800106381,AFT4228.0001.001,"Manila,",
990013597960106381,AFU8696.0001.001,"Washington,","Manila,"
990014139120106381,AGA4143.0001.001,New York :,London ;
990014140870106381,AGA4319.0001.001,Boston [etc.],"Philadelphia,"
990014142810106381,AGA4513.0001.001,"Honolulu,",
990014142870106381,AGA4519.0001.001,Chicago [etc.],"New York,"
990014472730106381,AGD8622.0001.001,"Boston,",
990014473620106381,AGD8713.0001.001,"[n. p.,",
990029704390106381,AQQ3588.0010.010,Manila :,
990029704390106381,AQQ3588.0010.012,Manila :,
990029704390106381,AQQ3588.0010.004,Manila :,
990029704390106381,AQQ3588.0010.006,Manila :,
990029704390106381,AQQ3588.0011.007,Manila :,
990029704390106381,AQQ3588.0009.010,Manila :,
990029720790106381,AQQ5239.0001.001,[Iloilo City :,
990030018450106381,AQW1509.0006.011,Zamboanga [Philippines] :,
990030046960106381,AQW4382.0001.044,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.045,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.046,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.047,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.048,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.049,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.050,"[Manila, Philippines :",
990030046960106381,AQW4382.0001.051,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.052,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.053,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.054,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.055,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.056,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.057,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.058,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.059,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.060,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.061,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.062,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.063,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.065,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.066,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.067,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.068,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.069,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.070,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.073,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.074,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.075,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.077,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.078,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.079,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.080,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.081,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.083,"[Manila, Philippines :",
