mms_id,dlxs_id,alma_value,dlxs_value
990012612720106381,AFJ6704.0001.001,"Sheldon and company; [etc., etc.],",Gould and Lincoln;
990012613340106381,AFJ6767.0001.001,"S. Converse,",H. Huntington;
990028697410106381,AQA5922.0001.001,"[El Tiempo],",[El Tiempo] ;
990028946040106381,AQG7227.0001.001,"s.n.,",s.n. ;
990029093410106381,AQJ2103.0001.001,"Panayana,","Panayana ,"
990029095380106381,AQJ2300.0001.001,s.n.].,
990033317260106381,ASH9043.0001.001,"Ransdell Inc., printers,","s.n.,"
990011494130106381,AEX3172.0001.001,"Govt. print. off,","Govt. print. off.,"
990011581880106381,AEY2206.0001.001,"Macmillan & co., ltd.,",The Macmillan company;
990012902630106381,AFM6967.1911.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1911.002,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1912.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1912.002,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1913.002,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1914.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1914.002,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1915.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1916.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1917.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1918.001,"Lib. é Imp. Religiosa,",
990012902630106381,AFM6967.1919.001,"Lib. é Imp. Religiosa,",
990013597960106381,AFU8696.0001.001,"B.S. Adams,","P.I.,"
990014472730106381,AGD8622.0001.001,Ticknor and Fields 1860.,
990029671370106381,AQQ0261.0001.001,"Imp. de Sta. Cruz,","Imp. de Sta. Cruz.,"
990029704390106381,AQQ3588.0010.010,"the Constabulary,",
990029704390106381,AQQ3588.0010.012,"the Constabulary,",
990029704390106381,AQQ3588.0010.004,"the Constabulary,",
990029704390106381,AQQ3588.0010.006,"the Constabulary,",
990029704390106381,AQQ3588.0011.007,"the Constabulary,",
990029704390106381,AQQ3588.0009.010,"the Constabulary,",
990029720790106381,AQQ5239.0001.001,"La Panayana, 193]̲.",
990030018450106381,AQW1509.0006.011,Mindanao Herald Pub. Co..,
990030046960106381,AQW4382.0001.044,s.n.],
990030046960106381,AQW4382.0001.045,s.n.],
990030046960106381,AQW4382.0001.046,s.n.],
990030046960106381,AQW4382.0001.047,s.n.],
990030046960106381,AQW4382.0001.048,s.n.],
990030046960106381,AQW4382.0001.049,s.n.],
990030046960106381,AQW4382.0001.050,s.n.],
990030046960106381,AQW4382.0001.051,s.n.],
990030046960106381,AQW4382.0002.052,s.n.],
990030046960106381,AQW4382.0002.053,s.n.],
990030046960106381,AQW4382.0002.054,s.n.],
990030046960106381,AQW4382.0002.055,s.n.],
990030046960106381,AQW4382.0002.056,s.n.],
990030046960106381,AQW4382.0002.057,s.n.],
990030046960106381,AQW4382.0002.058,s.n.],
990030046960106381,AQW4382.0002.059,s.n.],
990030046960106381,AQW4382.0002.060,s.n.],
990030046960106381,AQW4382.0002.061,s.n.],
990030046960106381,AQW4382.0002.062,s.n.],
990030046960106381,AQW4382.0002.063,s.n.],
990030046960106381,AQW4382.0002.065,s.n.],
990030046960106381,AQW4382.0002.066,s.n.],
990030046960106381,AQW4382.0002.067,s.n.],
990030046960106381,AQW4382.0002.068,s.n.],
990030046960106381,AQW4382.0002.069,s.n.],
990030046960106381,AQW4382.0002.070,s.n.],
990030046960106381,AQW4382.0002.073,s.n.],
990030046960106381,AQW4382.0002.074,s.n.],
990030046960106381,AQW4382.0002.075,s.n.],
990030046960106381,AQW4382.0002.077,s.n.],
990030046960106381,AQW4382.0002.078,s.n.],
990030046960106381,AQW4382.0002.079,s.n.],
990030046960106381,AQW4382.0002.080,s.n.],
990030046960106381,AQW4382.0002.081,s.n.],
990030046960106381,AQW4382.0002.083,s.n.],
990030046960106381,AQW4382.0002.084,s.n.],
990030046960106381,AQW4382.0002.086,s.n.],
990030046960106381,AQW4382.0002.087,s.n.],
990030046960106381,AQW4382.0002.088,s.n.],
990030046960106381,AQW4382.0002.090,s.n.],
990030046960106381,AQW4382.0002.091,s.n.],
990030046960106381,AQW4382.0002.092,s.n.],
990030046960106381,AQW4382.0002.093,s.n.],
990030126700106381,AQX2406.0001.001,"Filipino Publishers,.",
990030126700106381,AQX2406.0001.005,"Filipino Publishers,.",
990030126700106381,AQX2406.0001.007,"Filipino Publishers,.",
990030126700106381,AQX2406.0001.009,"Filipino Publishers,.",
990030126700106381,AQX2406.0002.008,"Filipino Publishers,.",
990030126760106381,AQX2412.0001.001,Ludlow Barracks].,
990030126760106381,AQX2412.0001.002,Ludlow Barracks].,
990030141080106381,AQX3851.0001.313,Manila Gráfica.,
990030158150106381,AQX5568.0001.001,[s.n.],
990030158150106381,AQX5568.0001.012,[s.n.],
990030158150106381,AQX5568.0001.002,[s.n.],
990030158150106381,AQX5568.0001.006,[s.n.],
990030158150106381,AQX5568.0001.007,[s.n.],
990030158150106381,AQX5568.0001.009,[s.n.],
990030171220106381,AQX6885.0001.002,Union de Clorigos Filipinas sa Arbispado ng Maynila.,
990030171220106381,AQX6885.0001.006,Union de Clorigos Filipinas sa Arbispado ng Maynila.,
990030171220106381,AQX6885.0007.002,Union de Clorigos Filipinas sa Arbispado ng Maynila.,
990030171340106381,AQX6897.0001.001,"[s.n.],.",
990030171340106381,AQX6897.0002.008,"[s.n.],.",
990030171340106381,AQX6897.0003.001,"[s.n.],.",
990030171350106381,AQX6898.0001.002,"Philippine-Chinese Advocate Pub. Co.,.",
990030171350106381,AQX6898.0001.004,"Philippine-Chinese Advocate Pub. Co.,.",
990030202560106381,AQY0046.0001.001,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.011,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.012,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.013,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.014,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.015,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.016,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.017,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.018,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.019,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.002,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.020,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.021,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.022,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.023,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.024,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.025,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.027,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.028,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.029,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.003,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.030,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.031,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.032,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
990030202560106381,AQY0046.0001.004,"United States Mission, American Chamber of Commerce of the Philippine Islands.",
