Notis Id,What matched in publishing profile,mms_id
ULAFA1680,(notis)ULAFA1680,990011773190106381
ULAFA1682,(notis)ULAFA1682,990011773210106381
ULAFA1796,(notis)ULAFA1796,990011774330106381
ULAFB1416,(notis)ULAFB1416,990011868210106381
ULABF2839,(notis)ULABF2839,990002864090106381
ULABF2844,(notis)ULABF2844,990002864140106381
ULABF2996,(notis)ULABF2996,990002865660106381
ULAGE4840,(notis)ULAGE4840,990014533290106381
ULAGE4842,(notis)ULAGE4842,990014533310106381
ULAGE4844,(notis)ULAGE4844,990014533330106381
ULAGF6711,(notis)ULAGF6711,990014647410106381
ULAFQ6758,(notis)ULAFQ6758,990013194870106381
ULAFQ6770,(notis)ULAFQ6770,990013194990106381
ULAFQ6774,(notis)ULAFQ6774,990013195030106381
ULAFQ6776,(notis)ULAFQ6776,990013195050106381
ULAFQ7759,(notis)ULAFQ7759,990013204700106381
ULAFR0953,(notis)ULAFR0953,990013235950106381
ULAFR0955,(notis)ULAFR0955,990013235970106381
ULAFR1058,(notis)ULAFR1058,990013237000106381
ULAFR1066,(notis)ULAFR1066,990013237080106381
ULAFR1581,(notis)ULAFR1581,990013241750106381
ULAFR2901,(notis)ULAFR2901,990013254170106381
ULAFS8435,(notis)ULAFS8435,990013407790106381
ULAFT0176,(notis)ULAFT0176,990013424280106381
ULAFT0768,(notis)ULAFT0768,990013429870106381
ULAFT3949,(notis)ULAFT3949,990013460150106381
ULAFT4182,(notis)ULAFT4182,990013462350106381
ULAFT4228,(notis)ULAFT4228,990013462800106381
ULACP6042,(notis)ULACP6042,990006043900106381
ULACP9465,(notis)ULACP9465,990006077700106381
ULACQ0871,(notis)ULACQ0871,990006091650106381
ULAJS4843,(notis)ULAJS4843,990020292890106381
ULAJS5827,(notis)ULAJS5827,990020302640106381
ULAJS5828,(notis)ULAJS5828,990020302650106381
ULAJS6887,(notis)ULAJS6887,990020312770106381
ULAJT5952,(notis)ULAJT5952,990020390280106381
ULAJU4002,(notis)ULAJU4002,990020463270106381
ULAJU9868,(notis)ULAJU9868,990020517990106381
ULAJV0736,(notis)ULAJV0736,990020526130106381
ULAJV2833,(notis)ULAJV2833,990020546600106381
ULAJV3228,(notis)ULAJV3228,990020550540106381
ULAJV4301,(notis)ULAJV4301,990020561170106381
ULAJV4309,(notis)ULAJV4309,990020561250106381
ULAJV4617,(notis)ULAJV4617,990020564320106381
ULAJV6094,(notis)ULAJV6094,990020578940106381
ULAJV6109,(notis)ULAJV6109,990020579080106381
ULAJV7380,(notis)ULAJV7380,990020591630106381
ULAJV8393,(notis)ULAJV8393,990020601600106381
ULAJV8399,(notis)ULAJV8399,990020601660106381
ULAJV8643,(notis)ULAJV8643,990020604070106381
ULAJV8845,(notis)ULAJV8845,990020606070106381
ULAJV9818,(notis)ULAJV9818,990020615690106381
ULAJW2638,(notis)ULAJW2638,990020625770106381
ULAJW2666,(notis)ULAJW2666,990020626050106381
ULAJW2668,(notis)ULAJW2668,990020626070106381
ULAJW3584,(notis)ULAJW3584,990020635040106381
ULAJW6733,(notis)ULAJW6733,990020664790106381
ULAHN0966,(notis)ULAHN0966,990017554120106381
ULAHN1084,(notis)ULAHN1084,990017555270106381
ULAHN1319,(notis)ULAHN1319,990017557550106381
ULAHN1330,(notis)ULAHN1330,990017557650106381
ULAHN8644,(notis)ULAHN8644,990017627750106381
ULAHN8919,(notis)ULAHN8919,990017630280106381
ULAHP0145,(notis)ULAHP0145,990017642140106381
ULAHP0146,(notis)ULAHP0146,990017642150106381
ULAHQ1698,(notis)ULAHQ1698,990017751680106381
ULAGA4143,(notis)ULAGA4143,990014139120106381
ULAGA4319,(notis)ULAGA4319,990014140870106381
ULAGA4320,(notis)ULAGA4320,990014140880106381
ULAGA4321,(notis)ULAGA4321,990014140890106381
ULAGA4322,(notis)ULAGA4322,990014140900106381
ULAGA4513,(notis)ULAGA4513,990014142810106381
ULAGA4515,(notis)ULAGA4515,990014142830106381
ULAGA4517,(notis)ULAGA4517,990014142850106381
ULAGA4519,(notis)ULAGA4519,990014142870106381
ULAGA4532,(notis)ULAGA4532,990014143000106381
ULAGC0292,(notis)ULAGC0292,990014291970106381
ULAGC1727,(notis)ULAGC1727,990014306150106381
ULAGC5786,(notis)ULAGC5786,990014345860106381
ULAFW8023,(notis)ULAFW8023,990013784970106381
ULABL6914,(notis)ULABL6914,990003394640106381
ULABM0523,(notis)ULABM0523,990003430210106381
ULAJG9008,(notis)ULAJG9008,990019374900106381
ULAJG9010,(notis)ULAJG9010,990019374920106381
ULAJG9012,(notis)ULAJG9012,990019374940106381
ULAJG9017,(notis)ULAJG9017,990019374990106381
ULAJG9020,(notis)ULAJG9020,990019375020106381
ULAJG9045,(notis)ULAJG9045,990019375260106381
ULAJG9181,(notis)ULAJG9181,990019376560106381
ULAJG9186,(notis)ULAJG9186,990019376610106381
ULAJG9538,(notis)ULAJG9538,990019380080106381
ULAJG9704,(notis)ULAJG9704,990019381720106381
ULAJG9876,(notis)ULAJG9876,990019383420106381
ULAJG9934,(notis)ULAJG9934,990019383980106381
ULAJG9970,(notis)ULAJG9970,990019384340106381
ULAJG9978,(notis)ULAJG9978,990019384420106381
ULAJG9979,(notis)ULAJG9979,990019384430106381
ULAJH0019,(notis)ULAJH0019,990019384820106381
ULAJH0097,(notis)ULAJH0097,990019385600106381
ULAAS6274,(notis)ULAAS6274,990001621280106381
ULAAS6845,(notis)ULAAS6845,990001626910106381
ULAAS9064,(notis)ULAAS9064,990001648810106381
ULAFK6409,(notis)ULAFK6409,990012707680106381
ULAFK6700,(notis)ULAFK6700,990012710570106381
ULAFK6772,(notis)ULAFK6772,990012711290106381
ULAFK6779,(notis)ULAFK6779,990012711360106381
ULAFK7034,(notis)ULAFK7034,990012713890106381
ULAFK7042,(notis)ULAFK7042,990012713970106381
ULAFK9989,(notis)ULAFK9989,990012742620106381
ULAFL1194,(notis)ULAFL1194,990012754350106381
ULAFL1247,(notis)ULAFL1247,990012754880106381
ULAFL1249,(notis)ULAFL1249,990012754900106381
ULAFL1250,(notis)ULAFL1250,990012754910106381
ULAFL2225,(notis)ULAFL2225,990012764470106381
ULAFL2786,(notis)ULAFL2786,990012770030106381
ULAFL2930,(notis)ULAFL2930,990012771440106381
ULAFL2931,(notis)ULAFL2931,990012771450106381
ULAFL2935,(notis)ULAFL2935,990012771490106381
ULAFL2936,(notis)ULAFL2936,990012771500106381
ULAFL2937,(notis)ULAFL2937,990012771510106381
ULAFL2938,(notis)ULAFL2938,990012771520106381
ULAFL2941,(notis)ULAFL2941,990012771550106381
ULAFL4846,(notis)ULAFL4846,990012789860106381
ULAFL4856,(notis)ULAFL4856,990012789960106381
