mms_id,alma_title,alma_author,alma_pubplace,alma_publisher,alma_pubdate,alma_notes,alma_lang,alma_keywords
990012612700106381,"The aloha guide; the standard handbook of Honolulu and the Hawaiian Islands,","Schnack, Ferdinand John Henry, 1883-","[Honolulu,","Printed by Honolulu star-bulletin,",1915],[],eng,"['Honolulu (Hawaii) -- Guidebooks.', 'Hawaii -- Guidebooks.']"
990012612720106381,The Hawaiian Islands : their progress and condition under missionary labors. / By Rufus Anderson.,"Anderson, Rufus, 1796-1880.","Boston, : New York, :","Gould and Lincoln; Sheldon and company; [etc., etc.],",1864.,[],eng,"['Missions -- Hawaii', 'Hawaii.']"
990012612770106381,"The land of the o-o. : Facts, figures, fables, and fancies.","Burnett, Charles C.","Cleveland, Ohio, :","The Cleveland printing and publishing co.,",1892.,[],eng,['Hawaii -- Description and travel.']
990012612780106381,"Hawaii past and present,.","Castle, William R. (William Richards), Jr., 1878-1963.","New York, :","Dodd, Mead and company,",1917.,[],eng,['Hawaii.']
990012612830106381,History and general views of the Sandwich Islands' mission. By Rev. Sheldon Dibble...,"Dibble, Sheldon, 1809-1845.","New York,","Taylor & Dodd,",1839.,[],eng,['Missions -- Hawaii']
990012612860106381,"The paradise of the Pacific,","Faris, John T. (John Thomson), 1871-1949.","Garden City, N.Y.,","Doubleday, Doran & company, inc.,",1929.,[],eng,['Hawaii -- Description and travel']
990012612880106381,"Hawaii; scenes and impressions,","Gerould, Katharine Fullerton, 1879-1944.","New York,","C. Scribner's sons,",1916.,[],eng,"['Hawaii -- Description and travel', 'Molokai (Hawaii)']"
990012612890106381,"The coming Hawaii,","Goodrich, Joseph King, 1850-1921.","Chicago,","A. C. McClurg & co.,",1914.,[],eng,['Hawaii.']
990012612900106381,"Fire fountains : the kingdom of Hawaii, its volcanoes, and the history of its missions, / by C. F. Gordon Cumming.","Gordon Cumming, C. F. (Constance Frederica), 1837-1924.","Edinburgh, :","W. Blackwood,",1883.,[],eng,"['Volcanoes -- Hawaii', 'Missions -- Hawaii', 'Hawaii -- Description and travel']"
990012612910106381,Scenes in Hawaii;,"Grant, Minnie Caroline (Robinson) ""Mrs. W. Forsyth Grant.""","Toronto,","Hart & company,",1888.,[],eng,['Hawaii.']
990012612920106381,When you go to Hawaii you will need this guide to the Islands / by Townsend Griffiss.,"Griffiss, Townsend, 1900-",Boston and New York :,"Houghton Mifflin company,",1930.,[],eng,['Hawaii -- Guidebooks.']
990012612930106381,"The Hawaiian Islands, their resources, agricultural, commercial and financial.",Hawaii. Department of Foreign Affairs.,"Washington, D.C.,","Gibson bros., printers,",1897.,[],eng,"['Coffee -- Hawaii.', 'Hawaii -- Economic conditions']"
990012612940106381,Travels in the Sandwich and Society Islands.,"Hill, S. S., active 19th century.","London,",Chapman & Hall,[1856],[],eng,"['Society Islands (French Polynesia) -- Description and travel.', 'Hawaii -- Description and travel']"
990012612960106381,"Scenes and scenery in the Sandwich Islands, and a trip through Central America: being observations from my note-book during the years 1837-1842.","Jarves, James Jackson, 1818-1888.","Boston,","J. Munroe and company,",1844.,[],eng,"['Hawaii -- Description and travel', 'Central America -- Description and travel']"
990012612970106381,"Hawaiian yesterdays; chapters from a boy's life in the islands in the early days,.","Lyman, Henry M. (Henry Munson), 1835-1904.","Chicago, :","A. C. McClurg & co.,",1906.,[],eng,['Hawaii.']
990012612980106381,With Lord Byron at the Sandwich Islands in 1825; being extracts from thems. diary of James Macrae ...,"Macrae, James.","Honolulu,",,1922.,[],eng,"['Hawaii -- Description and travel.', 'Byron, George Gordon Byron, -- Baron, -- 1788-1824.', 'Blonde (Ship)']"
990012613000106381,Un printemps sur le Pacifique.,"Monnier, Marcel, 1853-1918.","Paris, :","E. Plon, Nourrit et cie,",1888.,[],fre,['Hawaii -- Description and travel']
990012613050106381,"Makapala-by-the-sea, Hawaii,","Prescott, Anne M.","Honolulu,","Hawaiian gazette co.'s print,",1899-,[],eng,['Hawaii -- Description and travel']
990012613080106381,A residence in the Sandwich Islands. By C. S. Stewart.,"Stewart, C. S. (Charles Samuel), 1795-1870.",Boston :,"Weeks, Jordan & company,",1839.,[],eng,['Hawaii -- Description and travel.']
990012613100106381,"Under Hawaiian skies, a narrative of the romance, adventure and history of the Hawaiian Islands, a complete historical account, by Albert Pierce Taylor.","Taylor, Albert Pierce, 1872-1931.","Honolulu, Hawaii,","Advertiser publishing co., ltd.,",1926.,[],eng,"['Hawaii -- History', 'Hawaii.']"
990012613130106381,"Hawaii today,","Wriston, Roscoe C., 1895-","Garden City, N.Y.,","Doubleday, Page & company,",1926.,[],eng,"['Hawaii -- Description and travel', 'Hawaii -- History']"
990012613180106381,Some modern Hawaiians.,"Beaglehole, Ernest, 1906-1965.","[Honolulu,",,1937 ?],"['""Literature cited"": p. 149-153.']",eng,"['Ethnology -- Hawaii.', 'Acculturation.', 'Hawaii -- Civilization.']"
990012613330106381,The story of Hawaii / by Mary Charlottee Alexander.,"Alexander, Mary Charlotte, 1874-",New York :,"American Book,",c1912.,['Bibliography: p. 266-268.'],eng,['Hawaii -- History']
990012613340106381,A residence of twenty-one years in the Sandwich Islands;,"Bingham, Hiram, 1789-1869.","Hartford [Conn.] New York,","H. Huntington; S. Converse,",1848.,[],eng,"['Missions -- Hawaii', 'Hawaii -- History']"
990012613440106381,"A history of Hawaii, prepared under the direction of the Historical Commission of the Territoy of Hawaii, by Ralph S. Kuykendall, with introductory chapters by Herbert E. Gregory.","Kuykendall, Ralph S. (Ralph Simpson), 1885-1963.","New York,","Macmillan Company,",1927[c1926],[],eng,['Hawaii -- History']
990012613470106381,"Old time Hawaiians and their work,","Lawrence, Mary Stebbins, 1876-","Boston, New York [etc.]",Ginn and company,[c1912],[],eng,['Hawaii -- History.']
990012613480106381,The human side of Hawaii; race problems in the mid-Pacific.,"Palmer, Albert W. (Albert Wentworth), 1879-1954.","Boston, Chicago,",The Pilgrim press,[c1924],[],eng,"['Hawaii -- Race relations.', 'Hawaii -- History.']"
990012613490106381,"The rulers of Hawaii, the chiefs and chiefesses, their palaces, monuments, portraits and tombs;","Taylor, Albert Pierce, 1872-1931.","Honolulu,","Printed by Advertiser publishing co.,",1927.,[],eng,"['Public buildings -- Hawaii.', 'Hawaii -- History']"
990012613520106381,Foreign affairs.,Hawaii. Legislature.,"[Honolulu,",,1878?],[],eng,"['Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.']"
990012613550106381,America in Hawaii.,"Carpenter, Edmund J. (Edmund Janes), 1845-1924.",Boston :,"Small, Maynard & company,",1899.,[],eng,['Hawaii -- History.']
990012613600106381,"The Hawaiian Islands. Early relations with the Pacific Northwest, Judge F. W. Howay, F.R.S.C.; Russia and Russian Alaska, Dr. Frank A. Golder; French Kingdom, French Empire, French Republic, George Verne Blue. Papers read during the Captain Cook sesquicentennial Celebration, Honolulu, August 17, 1928. Edited by Albert P. Taylor, librarian, Archives of Hawaii and Ralph S. Kuykendall, executive secretary, Hawaiian Historical Commission. Pub. by the Captain Cook sesqucentennial commission and the Archives of Hawaii commission.","Taylor, Albert Pierce, 1872-1931.",Honolulu?,"Captain Cook Sesquicentennial Commission,",1930.,"['Cover title: Hawaii. Early relations with England--Russia--France. Official papers read at the Captain Cook Sesquicentennial Celebration, Honolulu, August 17, 1928.']",eng,"['Hawaii -- History -- To 1893', 'Hawaii -- Centennial celebrations, etc.', 'Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- Soviet Union.', 'Soviet Union -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- France.']"
990012613610106381,The story of Hawaii.,"Owen, J. A. (Jean Allan), 1841-1922.","London and New York,","Harper & Brothers,",1898.,[],eng,['Hawaii -- History']
990012613660106381,"Memoir of Keopuolani, late queen of the Sandwich Islands ...","Richards, William, 1793-1847.","Boston,","Crocker & Brewster,",1825.,[],eng,"['Missions -- Hawaii', 'Keopuolani, -- Queen, consort of Kamehameha I, King of the Hawaiian Islands, -- 1778-1823.']"
990012613730106381,"Tribute to Charles R. Bishop, January 25, 1912, Honolulu, H. I.",,[Honolulu?,,1912],[],eng,"['Bishop, Charles Reed, -- 1822-1915.']"
990012613780106381,"Hawaiian Islands. : Report of the Committee on foreign relations, United States Senate, with accompanying testimony and executive documents transmitted to Congress from January 1, 1893, to March 10, 1894. Subject index ...",United States. Congress. Senate. Committee on Foreign Relations.,Washington :,"Govt. Print. off.,",1894.,"['Paged continuously; v. 1: 1 p.l., 809 p.; v. 2: 1 p.l., 811-2287 p.', 'Vol. I is issued also in the Congressional series (no. 3180).', 'On p. [1] 53d Congress, 2d session. Senate. Report no. 227.', 'Submitted by Mr. John T. Morgan.']",eng,"['United States -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- United States.', 'Hawaii -- Politics and government -- 1893-1900.']"
990012613790106381,History of later years of the Hawaiian monarchy and the revolution of 1893.,"Alexander, W. D. (William De Witt), 1833-1913.","[Honolulu,","Hawaiian gazette company,",1896],[],eng,['Hawaii -- History']
990012613800106381,The Hawaiian question.,"Carter, Charles L.","Honolulu,","H.I., Star Publishing co., lt'd.,",1893.,[],eng,"['Hawaii -- History -- Overthrow of the Monarchy, 1893.']"
990012613810106381,"The Hawaiian incident; an examination of Mr. Cleveland's attitude toward the revolution of 1893,","Gillis, J. A. (James Andrew), 1829-1914.","Boston,","Lee and Shepard,",1897.,[],eng,"['Hawaii -- History -- Overthrow of the Monarchy, 1893', 'Cleveland, Grover, -- 1837-1908.']"
