mms_id,dlxs_id,alma_value,dlxs_value,alma_url,dlxs_url
990004672350106381,ABZ6565.0001.001,London :,"New York,",https://search.lib.umich.edu/catalog/record/990004672350106381,https://quod.lib.umich.edu/p/philamer/ABZ6565.0001.001
990018710230106381,AHZ9242.0001.001,Chicago :,"Yonkers-on-Hudson, N. Y.,",https://search.lib.umich.edu/catalog/record/990018710230106381,https://quod.lib.umich.edu/p/philamer/AHZ9242.0001.001
990028006690106381,APT6458.0001.001,"Laguboti, Toba :","Laguboti, Toba. :",https://search.lib.umich.edu/catalog/record/990028006690106381,https://quod.lib.umich.edu/p/philamer/APT6458.0001.001
990012613340106381,AFJ6767.0001.001,"New York,",Hartford [Conn.],https://search.lib.umich.edu/catalog/record/990012613340106381,https://quod.lib.umich.edu/p/philamer/AFJ6767.0001.001
990018711700106381,AHZ9397.0001.001,"London,",New York,https://search.lib.umich.edu/catalog/record/990018711700106381,https://quod.lib.umich.edu/p/philamer/AHZ9397.0001.001
990018711700106381,AHZ9397.1913.001,"London,",New York,https://search.lib.umich.edu/catalog/record/990018711700106381,https://quod.lib.umich.edu/p/philamer/AHZ9397.1913.001
990007788520106381,ADH4824.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990007788520106381,https://quod.lib.umich.edu/p/philamer/ADH4824.0001.001
990018709750106381,AHZ9194.0001.001,"Dallas, Texas :","Nashville, Tenn. and",https://search.lib.umich.edu/catalog/record/990018709750106381,https://quod.lib.umich.edu/p/philamer/AHZ9194.0001.001
990000056790106381,AAA6267.0001.001,Chicago :,"Philadelphia,",https://search.lib.umich.edu/catalog/record/990000056790106381,https://quod.lib.umich.edu/p/philamer/AAA6267.0001.001
990029150670106381,AQJ7899.0001.001,"Zamboanga, P. I. :","Zamboanga, P. I., :",https://search.lib.umich.edu/catalog/record/990029150670106381,https://quod.lib.umich.edu/p/philamer/AQJ7899.0001.001
990018710550106381,AHZ9279.0001.001,Madrid :,"Madrid, :",https://search.lib.umich.edu/catalog/record/990018710550106381,https://quod.lib.umich.edu/p/philamer/AHZ9279.0001.001
990012672840106381,AFK2832.0001.001,Rizal],"[San Juan,",https://search.lib.umich.edu/catalog/record/990012672840106381,https://quod.lib.umich.edu/p/philamer/AFK2832.0001.001
990020526130106381,AJV0736.0002.001,Leipzig :,Bielefeld und,https://search.lib.umich.edu/catalog/record/990020526130106381,https://quod.lib.umich.edu/p/philamer/AJV0736.0002.001
990029703310106381,AQQ3480.0001.001,San Antonio. Tex. :,"San Antonio. Tex., :",https://search.lib.umich.edu/catalog/record/990029703310106381,https://quod.lib.umich.edu/p/philamer/AQQ3480.0001.001
990003210990106381,ABJ8305.0001.001,"New York,","Cincinnati,",https://search.lib.umich.edu/catalog/record/990003210990106381,https://quod.lib.umich.edu/p/philamer/ABJ8305.0001.001
990007766110106381,ADH2558.0001.001,Chicago :,"Chicago, :",https://search.lib.umich.edu/catalog/record/990007766110106381,https://quod.lib.umich.edu/p/philamer/ADH2558.0001.001
990004672590106381,ABZ6590.0001.001,London :,"New York,",https://search.lib.umich.edu/catalog/record/990004672590106381,https://quod.lib.umich.edu/p/philamer/ABZ6590.0001.001
990011581880106381,AEY2206.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990011581880106381,https://quod.lib.umich.edu/p/philamer/AEY2206.0001.001
990014906630106381,AGJ3546.0001.001,"London,",New York,https://search.lib.umich.edu/catalog/record/990014906630106381,https://quod.lib.umich.edu/p/philamer/AGJ3546.0001.001
990013598840106381,AFU8784.0001.001,"Manila,",Manila :,https://search.lib.umich.edu/catalog/record/990013598840106381,https://quod.lib.umich.edu/p/philamer/AFU8784.0001.001
990003336240106381,ABL0964.0001.001,London :,"New York,",https://search.lib.umich.edu/catalog/record/990003336240106381,https://quod.lib.umich.edu/p/philamer/ABL0964.0001.001
990042336400106381,BBM8812.0001.001,Washington :,"Washington, :",https://search.lib.umich.edu/catalog/record/990042336400106381,https://quod.lib.umich.edu/p/philamer/BBM8812.0001.001
990003213660106381,ABJ8574.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990003213660106381,https://quod.lib.umich.edu/p/philamer/ABJ8574.0001.001
990004750320106381,ACA4533.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990004750320106381,https://quod.lib.umich.edu/p/philamer/ACA4533.0001.001
990012568120106381,AFJ2156.0001.001,London :,"New York,",https://search.lib.umich.edu/catalog/record/990012568120106381,https://quod.lib.umich.edu/p/philamer/AFJ2156.0001.001
990015419300106381,AGP6085.0001.001,Boston :,"Philadelphia,",https://search.lib.umich.edu/catalog/record/990015419300106381,https://quod.lib.umich.edu/p/philamer/AGP6085.0001.001
990004657600106381,ABZ5072.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990004657600106381,https://quod.lib.umich.edu/p/philamer/ABZ5072.0001.001
990006911300106381,ACY4253.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990006911300106381,https://quod.lib.umich.edu/p/philamer/ACY4253.0001.001
990002491410106381,ABB4779.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990002491410106381,https://quod.lib.umich.edu/p/philamer/ABB4779.0001.001
990018710530106381,AHZ9277.0001.001,"New York,","Cleveland, Ohio,",https://search.lib.umich.edu/catalog/record/990018710530106381,https://quod.lib.umich.edu/p/philamer/AHZ9277.0001.001
990018710530106381,AHZ9277.0002.001,"New York,","Cleveland, Ohio,",https://search.lib.umich.edu/catalog/record/990018710530106381,https://quod.lib.umich.edu/p/philamer/AHZ9277.0002.001
990029373660106381,AQM0352.0001.001,"Baguio, Mount. Prov :","Baguio, Mount. Prov. :",https://search.lib.umich.edu/catalog/record/990029373660106381,https://quod.lib.umich.edu/p/philamer/AQM0352.0001.001
