mms_id,dlxs_id,alma_value,dlxs_value,suggested_value,alma_url,dlxs_url
990028006690106381,APT6458.0001.001,"Laguboti, Toba :","Laguboti, Toba. :",,https://search.lib.umich.edu/catalog/record/990028006690106381,https://quod.lib.umich.edu/p/philamer/APT6458.0001.001
990029150670106381,AQJ7899.0001.001,"Zamboanga, P. I. :","Zamboanga, P. I., :",,https://search.lib.umich.edu/catalog/record/990029150670106381,https://quod.lib.umich.edu/p/philamer/AQJ7899.0001.001
990018710550106381,AHZ9279.0001.001,Madrid :,"Madrid, :",,https://search.lib.umich.edu/catalog/record/990018710550106381,https://quod.lib.umich.edu/p/philamer/AHZ9279.0001.001
990029703310106381,AQQ3480.0001.001,San Antonio. Tex. :,"San Antonio. Tex., :",,https://search.lib.umich.edu/catalog/record/990029703310106381,https://quod.lib.umich.edu/p/philamer/AQQ3480.0001.001
990007766110106381,ADH2558.0001.001,Chicago :,"Chicago, :",,https://search.lib.umich.edu/catalog/record/990007766110106381,https://quod.lib.umich.edu/p/philamer/ADH2558.0001.001
990013598840106381,AFU8784.0001.001,"Manila,",Manila :,,https://search.lib.umich.edu/catalog/record/990013598840106381,https://quod.lib.umich.edu/p/philamer/AFU8784.0001.001
990042336400106381,BBM8812.0001.001,Washington :,"Washington, :",,https://search.lib.umich.edu/catalog/record/990042336400106381,https://quod.lib.umich.edu/p/philamer/BBM8812.0001.001
990029373660106381,AQM0352.0001.001,"Baguio, Mount. Prov :","Baguio, Mount. Prov. :",,https://search.lib.umich.edu/catalog/record/990029373660106381,https://quod.lib.umich.edu/p/philamer/AQM0352.0001.001
990017550060106381,AHN0549.0001.001,Manila :,"Manila, :",,https://search.lib.umich.edu/catalog/record/990017550060106381,https://quod.lib.umich.edu/p/philamer/AHN0549.0001.001
990017550050106381,AHN0548.0001.001,Manila :,"Manila, :",,https://search.lib.umich.edu/catalog/record/990017550050106381,https://quod.lib.umich.edu/p/philamer/AHN0548.0001.001
990000102770106381,AAB1246.0001.001,Manila :,"Manila, :",,https://search.lib.umich.edu/catalog/record/990000102770106381,https://quod.lib.umich.edu/p/philamer/AAB1246.0001.001
990013597530106381,AFU8653.0001.001,Manila :,"Manila, :",,https://search.lib.umich.edu/catalog/record/990013597530106381,https://quod.lib.umich.edu/p/philamer/AFU8653.0001.001
990006628010106381,ACV5364.0001.001,[Washington :,"[Washington, :",,https://search.lib.umich.edu/catalog/record/990006628010106381,https://quod.lib.umich.edu/p/philamer/ACV5364.0001.001
990006091650106381,ACQ0871.0001.001,Washington :,"Washington, :",,https://search.lib.umich.edu/catalog/record/990006091650106381,https://quod.lib.umich.edu/p/philamer/ACQ0871.0001.001
