mms_id,dlxs_id,subject guess,phillipines_counter,hawaii_counter,guam_counter,puerto_rico_counter,cuba_counter,virgin_islands_counter,keywords
990028611580106381,APZ7264.0001.001,Philippines,1,0,0,0,0,0,"['Tagalog poetry.', 'Corridos.']"
990014875960106381,AGJ0396.0001.001,Philippines,1,0,0,0,0,0,"['Geology -- Philippines Panay Island.', 'Panay Island (Philippines) -- Description and travel.']"
990018711010106381,AHZ9326.0001.001,Unable to Determine,0,0,0,0,0,0,
990003843750106381,ABR2381.0001.001,Philippines,1,0,0,0,0,0,"['Mines and mineral resources -- History.', 'Cebu City (Philippines) -- Description and travel.']"
990005635590106381,ACK4656.0001.001,Philippines,1,0,0,0,0,0,['Tagalog language -- Conversation and phrase books -- Spanish.']
990022091760106381,AKM8935.0001.001,Philippines,1,0,0,0,0,0,"['Philippines -- History.', 'Philippines -- Biography.']"
990005526730106381,ACJ3603.1919.001,Cuba,0,0,0,0,1,0,['Cuba -- History Periodicals.']
990005526730106381,ACJ3603.1920.001,Cuba,0,0,0,0,1,0,['Cuba -- History Periodicals.']
990005526730106381,ACJ3603.1921.001,Cuba,0,0,0,0,1,0,['Cuba -- History Periodicals.']
990028946050106381,AQG7228.0001.001,Unable to Determine,0,0,0,0,0,0,"['Cuyunon language -- Texts.', 'Catholic Church -- Prayers and devotions -- Cuyunon.']"
990004673740106381,ABZ6706.0001.001,Unable to Determine,0,0,0,0,0,0,['United States -- Territorial expansion.']
990027908730106381,APS6598.0001.001,Unable to Determine,0,0,0,0,0,0,"['Toraja (Indonesian people)', 'Bareë dialect.']"
990027908700106381,APS6595.0001.001,Unable to Determine,0,0,0,0,0,0,"['Toraja (Indonesian people)', 'Bareë dialect.']"
990013598630106381,AFU8763.0001.001,Philippines,1,0,0,0,0,0,['Sangir language (Indonesia and Philippines) -- Grammar.']
990015235240106381,AGM7458.0001.001,Cuba,0,0,0,0,1,0,"['Geology -- Bahamas.', 'Geology -- Cuba.', 'Bahamas -- Description and travel', 'Cuba -- Description and travel']"
990018306980106381,AHV7801.0001.001,Philippines,1,0,0,0,0,0,"['Novenas.', 'Iglesia Filipina Independiente.', 'Iglesia Filipina Independiente -- Liturgy Theology.']"
