id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
APZ7264.0001.001,Buhay na nasapit ni Anselmo at ni Elisa:  sa ciudad nang Ulma sacop nang reinong Alemania / tinula ni Don A. L. V., A. L. V.,['Buhay na nasapit ni Anselmo at ni Elisa:  sa ciudad nang Ulma sacop nang reinong Alemania / tinula ni Don A. L. V.'],"[' A. L. V.', 'American Philosophical Society. Library.']",Manila :,"Establecimiento de Fajardo y Comp.,",1905.,"['""Sinipi sa librong ñgala,i, Voz de la Naturaleza.""--T.p.', 'Microfilm no. 38.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['tgl: Tagalog'],"['Tagalog poetry.', 'Corridos.']"
AGJ0396.0001.001,"Descripción física, geológica y minera en bosquejo de la isla de Panay, / por Don Enrique Abella y Casariego."," Abella y Casariego, Enrique.","['Descripción física, geológica y minera en bosquejo de la isla de Panay, / por Don Enrique Abella y Casariego.']","[' Abella y Casariego, Enrique.', 'Spain. Comisión geológica y geográfica especial para Filipinas.']",Manila :,"Tipo-lit de Chofré y ca.,",1890.,"['Prepared by Abella y Casariego as chief of a Comisión geológica y geográfica especial para Filipinas, created in 1885. cf. Prólogo.']",['tgl: Tagalog'],"['Geology -- Philippines', 'Panay Island (Philippines) -- Description and travel.']"
AHZ9326.0001.001,Filipinas. Prólogo escrito por don Gonzalo Reparaz.," Abella y Casariego, Enrique.",['Filipinas. Prólogo escrito por don Gonzalo Reparaz.'],"[' Abella y Casariego, Enrique.']","Madrid,","Impr. de E. Teodoro y Alonso,",1898.,['Causas y período preparatorio de la insurrección.--Insurrección durante el mando del general Blanco.--Insurrección durante el mando del general Polavieja.--Insurrección durante el mando del general Primo de Rivera.--Apéndice.'],['spa: Spanish'],[]
ABR2381.0001.001,"Rápida descripcion física, geológica y minera de la Isla de Cebú archipiélago Filipino) / por D. Enrique Abella y Casariego."," Abella y Casariego, Enrique.","['Rápida descripcion física, geológica y minera de la Isla de Cebú archipiélago Filipino) / por D. Enrique Abella y Casariego.']","[' Abella y Casariego, Enrique.']",Madrid :,"Imprenta y Fundición de Manuel Tello,",1886.,['Some pages uncut.'],['spa: Spanish'],"['Mines and mineral resources -- History', 'Cebu City (Philippines) -- Description and travel.']"
ACK4656.0001.001,"Vade-mecum filipino, o, Manual de la conversación familiar español-tagalog : sequido de un curioso vocabulario de modismos Manileños."," Abella, V. M. de.","['Vade-mecum filipino, o, Manual de la conversación familiar español-tagalog : sequido de un curioso vocabulario de modismos Manileños.']","[' Abella, V. M. de.']",Manila :,"C. Miralles,",1874.,[],['spa: Spanish'],['Tagalog language -- Conversation and phrase books']
AKM8935.0001.001,Philippine history : reassessed / Isidro Escare Abeto.," Abeto, Isidro Escare.",['Philippine history : reassessed / Isidro Escare Abeto.'],"[' Abeto, Isidro Escare.']",Metro Manila :,"Integrated Publishing House,",1989.,"['Includes bibliographical references and indexes.', 'v. 1. A collection of undiscovered historical facts from prehistoric time to 1872.']",['eng: English'],"['Philippines -- History.', 'Philippines -- Biography.']"
ACJ3603.1919.001,Anales de la Academia de la Historia; publicación bimestre. [1919],"Academia de la Historia de Cuba, Havana.",['Anales de la Academia de la Historia; publicación bimestre. [1919]'],"['Academia de la Historia de Cuba, Havana.', 'Figarola-Caneda, Domingo, 1852-1926.']",,,,['Director: 1919- Domingo Figarola-Caneda.'],['spa: Spanish'],['Cuba -- History']
ACJ3603.1920.001,Anales de la Academia de la Historia; publicación bimestre. [1920],"Academia de la Historia de Cuba, Havana.",['Anales de la Academia de la Historia; publicación bimestre. [1920]'],"['Academia de la Historia de Cuba, Havana.', 'Figarola-Caneda, Domingo, 1852-1926.']",,,,['Director: 1919- Domingo Figarola-Caneda.'],['spa: Spanish'],['Cuba -- History']
ACJ3603.1921.001,Anales de la Academia de la Historia; publicación bimestre. [1921],"Academia de la Historia de Cuba, Havana.",['Anales de la Academia de la Historia; publicación bimestre. [1921]'],"['Academia de la Historia de Cuba, Havana.', 'Figarola-Caneda, Domingo, 1852-1926.']",,,,['Director: 1919- Domingo Figarola-Caneda.'],['spa: Spanish'],['Cuba -- History']
AQG7228.0001.001,Adalan sa mga Cristianos:  ñga isulat sa Cuyunon ig sa isarang Padre Agustino Recoleto.,,['Adalan sa mga Cristianos:  ñga isulat sa Cuyunon ig sa isarang Padre Agustino Recoleto.'],['American Philosophical Society. Library.'],Manila :,"Imp. del Colegio de Sto. Tomàs,",1904.,"['Microfilm no. 9.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['map: Austronesian (other)'],"['Cuyunon language -- Texts.', 'Catholic Church -- Prayer-books and devotions']"
ABZ6706.0001.001,"""Imperialism"" and ""The tracks of our forefathers."" A paper read before the Lexington, Massachusetts Historical Society, Tuesday, December 20, 1898."," Adams, Charles Francis, 1835-1915.","['""Imperialism"" and ""The tracks of our forefathers."" A paper read before the Lexington, Massachusetts Historical Society, Tuesday, December 20, 1898.']","[' Adams, Charles Francis, 1835-1915.']",Boston:,"D. Estes & Co.,",1899.,['No title-page. Title taken from inside cover.'],['eng: English'],['United States -- Territorial expansion']
