NOTIS number (DLXS),NOTIS number (actual),DLXS ID,MMS ID
ULAAA9679,ULBCD5171,AAA9679,990043781530106381
ULAAF4003,,AAF4003,990000515700106381
ULAAU0124,,AAU0124,990013600810106381
ULABA4816,ULBCD5206,ABA4816,990043781880106381
ULACA3379,ULBCD5311,ACA3379,990043782930106381
ULACL7339,,ACL7339,990125082790106381
,,ACL7339,990049578600106381
ULADB1552,,ADB1552,990049578820106381
ULADS4234,ULBCA5943,ADS4234,990043528810106381
ULAEQ7022,ULBCA5815,AEQ7022,990043527540106381
ULAFJ2350,ULBCD5473,AFJ2350,990043784550106381
ULAFM7592,ULAFM7592,AFM7592,990012908820106381
ULAHU9368,ULBCA5826,AHU9368,990043527650106381
ULAHZ9207,,AHZ9207,990049581670106381
ULAHZ9241,ULBCD5699,AHZ9241,990043786810106381
ULAJG9177,,AJG9177,990019376530106381
ULAJN8354,ULBCD5755,AJN8354,990043787370106381
ULAKR6824,,AKR6824,990022455350106381
ULANW4122,ULBCD5793,ANW4122,990043787750106381
