id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
AHL1556.0001.001,"The power and authority of Congress to pass a special tariff act for Cuba without waiting for the establishment of the independent government of Cuba, brief submitted on behalf of the Chamber of Commerce of the island of Cuba. Frank D. Pavey, counsel. Pavey & Moore, attorneys at law ... New York, N.Y."," Pavey, Frank Dunlap, 1860-","['The power and authority of Congress to pass a special tariff act for Cuba without waiting for the establishment of the independent government of Cuba, brief submitted on behalf of the Chamber of Commerce of the island of Cuba. Frank D. Pavey, counsel. Pavey & Moore, attorneys at law ... New York, N.Y.']","[' Pavey, Frank Dunlap, 1860-', 'Cuba. Cámara de comercio, industria y navegación, Havana.']",,,,[],['eng: English'],"['Tariff -- United States', 'Cuba -- Foreign relations -- United States', 'United States -- Foreign relations -- Cuba.']"
ADZ6213.0001.001,Por la patria : colección de artículos (Manila 1895-1897) / Carlos Peñeranda.," Peñeranda, Carlos, 1848-1928.",['Por la patria : colección de artículos (Manila 1895-1897) / Carlos Peñeranda.'],"[' Peñeranda, Carlos, 1848-1928.']",Manila :,"Imp. Litografia Partier,",1898.,[],['tgl: Tagalog'],"['Manila (Philippines) -- History.', 'Philippines -- History']"
ACL8814.0001.001,"Theodore Roosevelt, by Edmund Lester Pearson."," Pearson, Edmund Lester, 1880-1937.","['Theodore Roosevelt, by Edmund Lester Pearson.']","[' Pearson, Edmund Lester, 1880-1937.']","New York,","The Macmillan company,",1920.,[],['eng: English'],"['Roosevelt, Theodore, -- 1858-1919.']"
ADZ6220.0001.001,La verdad sobre Filipinas / por Joaquin Pellicena y López.," Pellicena y López, Joaquín.",['La verdad sobre Filipinas / por Joaquin Pellicena y López.'],"[' Pellicena y López, Joaquín.']",Manila :,"Tip. Amigos del Pais,",1900.,[],['tgl: Tagalog'],['Philippines -- History']
AQJ0419.0001.001,"Arte de la lengua pangasinan ó cabolóan:  corregido, aumentado y llevando en sí el mismo compendio / por el M. R. L. Fr. Mariano Pellicer O. L., de lingayen en la misma provincia."," Pellicer, Mariano, 1802-1844.","['Arte de la lengua pangasinan ó cabolóan:  corregido, aumentado y llevando en sí el mismo compendio / por el M. R. L. Fr. Mariano Pellicer O. L., de lingayen en la misma provincia.']","[' Pellicer, Mariano, 1802-1844.', 'American Philosophical Society. Library.']","Manila, I. F. :","Imp. del Colegio de Sto. Tomás,",1904.,"['Microfilm no. 29', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm rell ; 35 mm.e1 reel ; 35 mm.', 'From Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],['Pangasinan language -- Grammar.']
ADH2556.0001.001,"Record of Pennsylvania volunteers in the Spanish American war, 1898. Published under the provisions of the act of assembly, approved April 13, 1899. Comp. under the supervision of Thomas H. Stewart, adjutant general.",Pennsylvania. Adjutant-General's Office.,"['Record of Pennsylvania volunteers in the Spanish American war, 1898. Published under the provisions of the act of assembly, approved April 13, 1899. Comp. under the supervision of Thomas H. Stewart, adjutant general.']","[""Pennsylvania. Adjutant-General's Office.""]",[Harrisburg],"W. S. Ray, state printer,",1901.,[],['eng: English'],['Pennsylvania.']
ABE0785.0001.001,"To-morrow in Cuba, by Charles M. Pepper."," Pepper, Charles Melville, 1859-","['To-morrow in Cuba, by Charles M. Pepper.']","[' Pepper, Charles Melville, 1859-']","New York,","Young people's missionary movement,",1910.,['Bibliography: p. 350-[355]'],['eng: English'],['Cuba.']
APT6454.0001.001,"Perbahanen:  rasoel-rasoel bagi nisoeratken si Loekas / isoesoerken ibas tjakap Batak-Karo, J. H. Neumann.",,"['Perbahanen:  rasoel-rasoel bagi nisoeratken si Loekas / isoesoerken ibas tjakap Batak-Karo, J. H. Neumann.']","['Neumann, J. H. (Johann Heinrich), 1876-1949.', 'American Philosophical Society. Library.']",Amsterdam :,"Het Nederl. Bijbelgenootschap,",1916.,"['Microfilm no. 45.', 'In Karo-Batak.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett collection on the Philippines and East Indies.']",['dut: Dutch'],"['Karo-Batak dialect -- Texts.', 'Bible. -- N.T. -- Commentaries.']"
ATF7592.0001.001,Relaciones Agustinianas de las razas del norte de Luzon: ," Perez, Ricardo P. Fray Angel.",['Relaciones Agustinianas de las razas del norte de Luzon: '],"[' Perez, Ricardo P. Fray Angel.', 'Ethnological Survey for Philippine Islands.']",Manila :,"Bureau of Public Printing,",1904,"['Includes index.', 'CIS Index to U. S. Executive Branch Documents, 1789-1909, Part 2.', 'Microfiche. [Bethesda, Md.] : Congressional Information Service, 1991. 11 x 15 cm. (CIS US Executive Branch Documents, 1789-1909 : no. W4929-3.D).']",['spa: Spanish'],"['Ethnology -- Philippines.', 'Augustinians -- Missions.']"
AQJ2207.0001.001,Lactud ñga pañgasoy sang quinabuhi ni san Cristobal:  sinulat ni Joaquin A. Perfecto.," Perfecto, Joaquin A.",['Lactud ñga pañgasoy sang quinabuhi ni san Cristobal:  sinulat ni Joaquin A. Perfecto.'],"[' Perfecto, Joaquin A.', 'American Philosophical Society. Library.']",Iloilo :,"La Panayana,",[1930],"['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['hil: Hiligaynon'],"['Saints -- Biography.', 'Christopher, -- Saint.']"
